id,time,x,y
planet,0,1.496e+11,0
dynamic,0,1.5708e+11,0
planet,60,1.496e+11,1.7868e+06
dynamic,60,1.5708e+11,1.74e+06
planet,120,1.496e+11,3.5736e+06
dynamic,120,1.5708e+11,3.48e+06
planet,180,1.496e+11,5.3604e+06
dynamic,180,1.5708e+11,5.22e+06
planet,240,1.496e+11,7.1472e+06
dynamic,240,1.5708e+11,6.96e+06
planet,300,1.496e+11,8.934e+06
dynamic,300,1.5708e+11,8.7e+06
planet,360,1.496e+11,1.07208e+07
dynamic,360,1.5708e+11,1.044e+07
planet,420,1.496e+11,1.25076e+07
dynamic,420,1.5708e+11,1.218e+07
planet,480,1.496e+11,1.42944e+07
dynamic,480,1.5708e+11,1.392e+07
planet,540,1.496e+11,1.60812e+07
dynamic,540,1.5708e+11,1.566e+07
planet,600,1.496e+11,1.7868e+07
dynamic,600,1.5708e+11,1.74e+07
planet,660,1.496e+11,1.96548e+07
dynamic,660,1.5708e+11,1.914e+07
planet,720,1.496e+11,2.14416e+07
dynamic,720,1.5708e+11,2.088e+07
planet,780,1.496e+11,2.32284e+07
dynamic,780,1.5708e+11,2.262e+07
planet,840,1.496e+11,2.50152e+07
dynamic,840,1.5708e+11,2.436e+07
planet,900,1.496e+11,2.6802e+07
dynamic,900,1.5708e+11,2.61e+07
planet,960,1.496e+11,2.85888e+07
dynamic,960,1.5708e+11,2.784e+07
planet,1020,1.496e+11,3.03756e+07
dynamic,1020,1.5708e+11,2.958e+07
planet,1080,1.496e+11,3.21624e+07
dynamic,1080,1.5708e+11,3.132e+07
planet,1140,1.496e+11,3.39492e+07
dynamic,1140,1.5708e+11,3.306e+07
planet,1200,1.496e+11,3.5736e+07
dynamic,1200,1.5708e+11,3.48e+07
planet,1260,1.496e+11,3.75228e+07
dynamic,1260,1.5708e+11,3.654e+07
planet,1320,1.496e+11,3.93096e+07
dynamic,1320,1.5708e+11,3.828e+07
planet,1380,1.496e+11,4.10964e+07
dynamic,1380,1.5708e+11,4.002e+07
planet,1440,1.496e+11,4.28832e+07
dynamic,1440,1.5708e+11,4.176e+07
planet,1500,1.496e+11,4.467e+07
dynamic,1500,1.5708e+11,4.35e+07
planet,1560,1.496e+11,4.64568e+07
dynamic,1560,1.5708e+11,4.524e+07
planet,1620,1.496e+11,4.82436e+07
dynamic,1620,1.5708e+11,4.698e+07
planet,1680,1.496e+11,5.00304e+07
dynamic,1680,1.5708e+11,4.872e+07
planet,1740,1.496e+11,5.18172e+07
